name,description,user_per_month,cost_per_user_per_month,category,sub_category
SAP Commercial Project Management,"Help your teams plan, manage, and collaborate on projects, whether they are in the same building or halfway around the world. With the SAP Commercial Project Management application, you can achieve maximum efficiency and quickly adapt to changes to avoid unplanned costs.On-premise and cloud deployment.Collaborative project workspace.Integrated project cost and revenue planning.Visibility into project issue and change management
Control projects in real time based on a single version of the truth, and improve win rate for profitable projects with better historic bid and project insight. Provide highly flexible work spaces, consolidated data access across applications and systems, and a differentiating user experience.Streamline risk, issue, and change request management to reduce the percentage of unapproved changes.Access real-time project data using a single point of project visibility and control.
Share the same view of each project with all project members.Generate project status reports quickly using embedded analytics functionality.Improve estimating, planning, and forecasting accuracy, and plan for necessary personnel, materials, expenses, and third-party resources.Unify financials management throughout project lifecycles.Develop detailed baseline costs and revenue plans.Manage and monitor change requests and their financial impact to ensure successful project completion and client satisfaction.Record and clarify project issues quickly and accurately.Reduce inefficient manual and spreadsheet-based processe.",,,PLM,Project management
AceProject,"AceProject is a web-based project tracking software that helps manage projects from end to end. It is a complete project management solution for individuals, teams and enterprises that need to take control of their important workflows and leave nothing to chance. AceProject provides the tools for projects to remain on time and on budget with its time and expense tracking features. Entering time is very easy, almost automated, and convenient with a Time Clock. Users can easily stay on top of all their projects with a project Dashboard that gives instant information with color-coded graphs and details. With Gantt charts, they can view the intricacies of a project and its progress to be able to make informed decisions and necessary actions.A web-based app to manage your tasks, timesheets, documents and expenses.Adding structure to your business allows you to free up wasted time and not be bogged down with administrative processes. Information and documents are easy to find with one click of the button anytime, anywhere.Stay on top of your projects and tasks and know exactly what is occurring in your business. The ability to see who is doing what in real-time or through reports allows greater efficiency, through better resource allocation and accountability.Keeping everyone on the same page is possible. Streamlining and centralizing communications makes sure that nothing slips through the cracks. It provides the comfort that critical business information or processes will be continuously available.Streamline the project management process by viewing and reporting progress across your entire portfolio.Visually track project and task progress, view deadlines and task dependencies using our interactive Gantt charts.Use templates to ensure that your organization's standards are maintained from one project to the next.Create, assign, organize and execute tasks with ease. Time and progression are tracked through the project life-cycle.Easily setup recurring tasks on a defined time-frame to take away the burden of creating and editing tasks that repeat on regular schedules.Create your reports and views based on selected criteria. Define your fields, filters, and sorting order then save your report for future use.Punch in and out while working on a specific task. The time elapsed is auto-recorded in the user's timesheet.Fill out timesheets and submit them for approval. Once approved, time entries cannot be edited, for better control.Generate advanced time reports based on numerous criteria and filters to quantify time usage across your organization.Keep a history of document changes. Track and access all iterations made to a specific document.Lock a document to leave the original copy intact. Prevent other users from editing or deleting a specific document.Record expenses against projects and tasks. Attach supporting documents related to each expense.Submitted expenses are approved or rejected by your project manager. Keep expenses under control for better budget management.Generate advanced expense reports based on numerous criteria and filters. Keep an eye on your project costs.",,,PLM,Project management
Beebusy,"Beesbusy can be used by teams of all sizes and all industries. From project management experts to beginners, everyone can easily organize their tasks and manage their projects..Features:Agile Methodologies
,Client Portal,Gantt Charts,Kanban Board,Portfolio Management,Time & Expense Tracking,Collaboration Tools,Customizable Templates,Idea Management,Milestone Tracking,Resource Management,Traditional Methodologies",1,EUR 19.99,PLM,Project management
Celoxis,"The all-in-one PMS with enterprise-class features, beautiful dashboards, powerful reports & tons of customizations. Ranked #1 on Gartner since Oct 2019.Features : Agile Methodologies,Client Portal,Cost-to-Completion Tracking
,Gantt Charts,Kanban Board,Portfolio Management,Time & Expense Tracking,Budget Management,Collaboration Tools,Customizable Templates,Idea Management,Milestone Tracking,Resource Management,Traditional Methodologies.",1,$25,PLM,Project management
SAP Digital Manufacturing Cloud,"Improve operations visibility with the SAP Digital Manufacturing Cloud solution, a manufacturing execution system (MES) of near real-time data and analytics. Execute manufacturing processes, analyse manufacturing and business data, and integrate systems with a cost-effective, high-quality, and resource-efficient method based on Industry 4.0.Empower key stakeholders to analyse global and plant-level manufacturing performance and associated causes through intuitive, preconfigured analytics.Acquire data from different manufacturing operations management (MOM) systems and automation systems by integrating multiple systems and standards-based interfaces.Accelerate root-cause analysis with advanced algorithms and machine learning to facilitate continuous business improvement.Support better, more transparent production management to assess and resolve quality and productivity issues quickly while reducing warranty and liability risk.Meet market-of-one demand; handle extreme product variability; maintain 
productivity, margin, and quality levels; and improve customer satisfaction.Keep MOM systems running smoothly by optimising the use of manufacturing resources, improving quality, and minimising downtime.",,,PLM,Manufacturing
Oracle Manufacturing Cloud,"Streamline your global, mixed-mode manufacturing operations with Oracle Manufacturing Cloud—a global software solution leveraging tight supply chain integration, Internet of Things (IoT), AI, and machine learning (ML) to simplify shop floor execution, optimize real-time decisions, and control quality and cost.Respond to customer demand for discrete and batch products at global internal and external manufacturing sites, while streamlining cost accounting and maintaining compliance with local regulations.Streamline manufacturing execution with tight integration using the most comprehensive cloud supply chain solution on the market. Leverage IoT, AI, and other emerging technologies to optimize decisions and automate transactions.Eliminate the need for a separate manufacturing execution system by leveraging the built-in manufacturing dispatch list with integrated scanning, mandatory quality collections, IoT, and shop floor analytics.Extend Oracle Manufacturing Cloud with partner applications, or build your own competitive advantage applications by leveraging our REST services and PaaS tools.",,,PLM,Manufacturing
TrakSYS,"Monitor.,Control.and Optimize with TrakSYS Managing Your Manufacturing Operations.Run Your Manufacturing Operation More Effectively, Using Real-Time Data. TrakSYS is a next-generation MES platform with out-of-the-box functionality designed to provide the monitoring, measuring, reporting and analytics you need to run your manufacturing operation more effectively.Be up and running quickly, with out-of-the-box functionality for key solutions: OEE, SPC, batch, and more.ERP. SCADA. PLC. IoT. TrakSYS integrates with your other assets and infrastructure.Tailor TrakSYS for your needs using built-in code-free configuration tools or advanced scripting.TrakSYS benchmarks performance and productivity, by collecting and aggregating data from virtually any source (PLCs, IIoT, ERP, manual, etc.), to deliver real-time, actionable intelligence on your manufacturing operation – while leveraging your existing assets, resources and infrastructure.Gain unparalleled insight into your operation, using the many standard dashboards and reports included with the TrakSYS platform. Want to see more? You can easily create custom reports, forms and screens, using the web-based configuration tools built into TrakSYS.Take what you’ve learned about your operation and put it into action, using the built-in task management features of TrakSYS. Enter operating notes in journals. Assign tasks to operators, maintenance, and other team members. Or send out notifications for urgent issues.",,,PLM,Manufacturing
SAP Business One,"Gain greater control over your business or subsidiary with SAP Business One. This small business management software connects and streamlines your processes — and grows along with you.Increase control over your small business with software designed to grow with you. Streamline key processes, gain greater insight into your business, and make decisions based on real-time information – so you can drive profitable growth.On-premise or cloud deployment.Integrated business intelligence.Quick deployment.Run and maintain your ERP software affordably.Lower the cost of managing your business, from financials, purchasing, inventory, sales, and customer relationships to project management, operations, and HR.Handle all your department needs with one solution.Gain clear visibility and complete control over every aspect of your small business. Capture critical information for immediate access and use it company-wide.Power your business growth with keen insightSecure the achievement of big dreams and big goals. Get a single view of your business in an instant with a flexible, modular, powerful, and simple interface.",,,Enterprise Management,Small Businesses
NetSuite,"As a fast-growing small business, you need a modern, agile business solution that is cost-effective, scales rapidly and future-proofs your company for long term innovation and growth. Too often, however, growing businesses are held back by entry-level software systems that stifle growth and unreliable manual processes that cut into performance and profitability.A modern, cloud-based solution that grows with you, every step of the way.NetSuite meets the evolving business requirements of fast-growing companies at every stage of their growth. It is the #1 choice to run financials/ERP, CRM and ecommerce applications in the cloud.From emerging businesses and start-ups, to established businesses, NetSuite empowers modern, fast-growing companies, both private and public, to unlock their growth potential. Our cloud-based solutions streamline mission critical business processes and reduce IT costs, allowing you to easily scale and future-proof your business with an agile business platform that evolves as your needs change.",,,Enterprise Management,Small Businesses
Epicor,"Successful companies outgrow the systems they started with and begin the careful search for a small business software solution that is affordable, easy to use, and built to last. Epicor understands that you deserve first-rate solutions and services that are sized for your business.Epicor software for small business delivers first-rate solutions and services that are sized for your business.Fit your budget .Minimize the need for IT .Connect you with your customers and suppliers.Improve your productivity.Provide rapid startup.Epicor provides small businesses with a choice between traditional onsite deployments and robust cloud ERP solutions designed to help you achieve rapid success.Epicor SaaS business solutions provide growing companies like yours with the broad functionality of an onsite solution without the added complexity or up-front costs. With no software or hardware systems to install or maintain, Epicor ERP in the Cloud helps you to get up and running even faster and reduce your on-going operational costs so you can get back to running your business.",,,Enterprise Management,Small Businesses
SAP HCM/ SAP HRMS,"HCM is basically the New version of SAP-HR. The main difference is SAP HR is a completely SAP module where as SAP HCM is a Business Suite. SAP HR can be developed and customized by ABAP Codes where HCM can be developed by web based tool.

SAP HR (Human Resource management) also known asHuman Capital Management (HCM) and it is an important module in ERP SAP systems that supports all the process of human resource management in the enterprise.
SAP HR records the data from the hiring an employee to its final termination in organization. It store the employee data such as designation, role, salary details, working shifts, address and so on.

SAP HR is divided in to various sub modules such as 
Organizational management
Personnel Administration
Time Management
Personnel Development

Let discuss briefly about SAP hr sub modules.

Organization management: Organization management is one of the important sub module of SAP HR and enables the organization to represent the organizational plan, analysis current plan, create additional plans and create better workflow management.

2. Personnel Administration: Personnel Administration is one of the important sub module of SAP systems and records essential employee information. It performs various administration tasks such as hiring the employees, personnel data, travel expenses, payroll accounting and so on.

3. Time management is one of the important sub module of HR and records the employee data related to attendance, absence, time evaluation,shifts and so on.

4. Payroll: SAP payroll process the payment that work done by a employees. It includes wages, benefits, medical benefits, taxes and so on. Payroll is integrated with other modules such personal administration, time management, financial accounting and so on.

5.Personnel development is one of the important sub module of HR where the organization maximize the employees performance. The main objectives of personal development is to qualify the employees so that they meet the requirements, increase the employees motivation and productivity and reduce the employee turnover.",,"$84.53 per year, per user.",HCM,
SAP SuccessFactors,"
Sap SucessFactors HR solutions are flexible and extensible, and it
supports local and global compliance needs. These solutions must be
able to work based not on a solution provider’s rigid requirements, but
on the users organization’s business drivers. Often, organizations have
to replace their entire solution in order to implement a new core HR
system.
But SuccessFactors is different is a complete, cloud technology-based
core HR system of record that combines HR transactions, processes
and data with social collaboration features and mobile functionality. It
is standards-based, flexible technology, so you can deploy it in your
organization at your pace.
It is highly configurable to the users business processes and adaptable
to changing business needs. These organizations can now manage
payroll in house with the flexibility of the cloud, reducing the burden of
maintaining often costly and complex compliance and regulatory
system upgrades, and lowering overhead costs associated with
running payroll applications. Organizations can now deliver support to
one of their most treasured assets its employees.
SAP's global payroll solution is available as a hosted option that comes
integrated with Employee Central. For organizations that wish to
manage payroll in-house via a cloud-based solution, SAP
SuccessFactors Employee Central Payroll offers all the same features
and benefits as SAP's on-premise payroll solution, but it is delivered
with the security, scale, and flexibility of the SuccessFactors cloud.

SuccessFactors provides a complete, recruit-to-retire solution across
all talent processes, and comprehensive content such as skills and
competency libraries, job descriptions, goal catalogs, as well as legal
and coaching content. HR analytics are a highly effective mechanism
for aiding corporate agility. As with any strategic initiative, the ability to
access, analyze, and report on success or failure is paramount.
The right tools enable an organization to plan and execute on critical
goals and avoid talent-related disruptions along the way. Workforce
analytics’ provides concrete and actionable insights on workforce data
to drive a business strategy today and help the user plan for the
future. It helps increases the effectiveness of HR through a
comprehensive library of more than 2,000 standard metrics, industry
benchmarks, and HR best practices that help measure the things that
matter. In addition, the user can take advantage of more than thirty
years of field experience and research to accelerate the impact it can have in its organisation.",Not provided by vendor,Not provided by vendor,HCM,N/A
SAP BusinessObjects,"Application to help you optimize business performance by connecting people, information, and businesses across business networks. SAP Business Objects comprises a number of reporting and analysis applications that all have their own identity, purpose and function. Users can utilize the exploration tool to search through large volumes of data and make unique visualizations of their findings.",Not provided by vendor,"$14,000.00/year",HCM,N/A
SAP Innovation Management,"Designed for businesses in finance, retail, aerospace, and other industries, it is an innovation management tool that helps with collaboration, ideation, workflow evaluation, and more. Cloud-based innovation management solution that enables businesses to manage ideas, campaigns, tasks, and more.",1 - 1000+,starts at $27816.00 per year,HCM,N/A
SAP ESS/ MSS Employee and Manager Self Service,"Manage personal data yourself and relieve the HR department - with web-based mobile applications for Employee Self-Service (ESS) and Manager Self-Service (MSS). Reduce costs through process optimization in SAP HCM. 
We support you with analysis, conception and advice . The development of ESS / MSS scenarios that are individually suitable for your company is just as much a part of our services as the adaptation of standard scenarios . Testing, documentation, training and support for the go-live round off our services.",Not provided by vendor,Not provided by vendor,HCM,N/A
